msa,msa_name,fipstate,fipscty,county_name,latitude,longitude
36180,"Ocean Pines, MD Micro Area",24,47,"Worcester County, Maryland",38.2231182,-75.3319465
36220,"Odessa, TX Metro Area",48,135,"Ector County, Texas",31.8941755,-102.5794339
36260,"Ogden, UT Metro Area",49,11,"Davis County, Utah",41.0263758,-112.1197426
36340,"Oil City, PA Micro Area",42,121,"Venango County, Pennsylvania",41.3996112,-79.7709417
36380,"Okeechobee, FL Micro Area",12,93,"Okeechobee County, Florida",27.3923408,-80.8873655
36420,"Oklahoma City, OK Metro Area",40,17,"Canadian County, Oklahoma",35.5438102,-98.0031532
36460,"Olean, NY Micro Area",36,9,"Cattaraugus County, New York",42.2234823,-78.6477096
36500,"Olympia-Lacey-Tumwater, WA Metro Area",53,67,"Thurston County, Washington",46.9319983,-122.8855155
36540,"Omaha, NE-IA Metro Area",19,85,"Harrison County, Iowa",41.6659155,-95.7976315
36580,"Oneonta, NY Micro Area",36,77,"Otsego County, New York",42.5984272,-75.0142701
36620,"Ontario, OR-ID Micro Area",16,75,"Payette County, Idaho",44.0374651,-116.7651123
36660,"Opelousas, LA Micro Area",22,97,"St. Landry Parish, Louisiana",30.6174002,-92.0035057
36700,"Orangeburg, SC Micro Area",45,75,"Orangeburg County, South Carolina",33.4054944,-80.778429
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",12,69,"Lake County, Florida",28.7006859,-81.78994
36780,"Oshkosh-Neenah, WI Metro Area",55,139,"Winnebago County, Wisconsin",44.0697014,-88.6516527
36820,"Oskaloosa, IA Micro Area",19,123,"Mahaska County, Iowa",41.314939,-92.6489935
36830,"Othello, WA Micro Area",53,1,"Adams County, Washington",46.9723633,-118.5934644
36837,"Ottawa, IL Micro Area",17,11,"Bureau County, Illinois",41.4016294,-89.5341179
36840,"Ottawa, KS Micro Area",20,59,"Franklin County, Kansas",38.5720008,-95.3184483
36900,"Ottumwa, IA Micro Area",19,179,"Wapello County, Iowa",41.0137597,-92.4140217
36940,"Owatonna, MN Micro Area",27,147,"Steele County, Minnesota",44.0137336,-93.2203671
36980,"Owensboro, KY Metro Area",21,59,"Daviess County, Kentucky",37.6877924,-87.0818357
37020,"Owosso, MI Micro Area",26,155,"Shiawassee County, Michigan",42.9429488,-84.1458259
37060,"Oxford, MS Micro Area",28,71,"Lafayette County, Mississippi",34.3519035,-89.4664677
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",6,111,"Ventura County, California",34.4458248,-119.0779359
37120,"Ozark, AL Micro Area",1,45,"Dale County, Alabama",31.3940969,-85.623763
37140,"Paducah, KY-IL Metro Area",17,127,"Massac County, Illinois",37.2177417,-88.7163312
37220,"Pahrump, NV Micro Area",32,23,"Nye County, Nevada",38.3544843,-116.406961
37260,"Palatka, FL Micro Area",12,107,"Putnam County, Florida",29.6266155,-81.7230549
37300,"Palestine, TX Micro Area",48,1,"Anderson County, Texas",31.7819242,-95.6258199
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",12,9,"Brevard County, Florida",28.2100203,-80.7997185
37420,"Pampa, TX Micro Area",48,179,"Gray County, Texas",35.3711816,-100.7892236
37460,"Panama City-Panama City Beach, FL Metro Area",12,5,"Bay County, Florida",30.2481693,-85.6593633
37500,"Paragould, AR Micro Area",5,55,"Greene County, Arkansas",36.091803,-90.5778883
37540,"Paris, TN Micro Area",47,79,"Henry County, Tennessee",36.3180775,-88.3108196
37580,"Paris, TX Micro Area",48,277,"Lamar County, Texas",33.6383552,-95.582343
37620,"Parkersburg-Vienna, WV Metro Area",54,105,"Wirt County, West Virginia",39.0287156,-81.3558282
37740,"Payson, AZ Micro Area",4,7,"Gila County, Arizona",33.74162695,-110.68145790073925
37800,"Pella, IA Micro Area",19,125,"Marion County, Iowa",41.3144108,-93.1010141
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",12,33,"Escambia County, Florida",30.6625885,-87.3451089
37900,"Peoria, IL Metro Area",17,123,"Marshall County, Illinois",41.0324537,-89.2998456
37940,"Peru, IN Micro Area",18,103,"Miami County, Indiana",40.7454905,-86.0639451
37950,"Petoskey, MI Micro Area",26,47,"Emmet County, Michigan",45.5064041,-84.8567966
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",10,3,"New Castle County, Delaware",39.6159851,-75.662956
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4,13,"Maricopa County, Arizona",33.34883,-112.49123
38100,"Picayune, MS Micro Area",28,109,"Pearl River County, Mississippi",30.7761604,-89.5984726
38180,"Pierre, SD Micro Area",46,65,"Hughes County, South Dakota",44.4047339,-99.946102
38210,"Pikeville, KY Micro Area",21,71,"Floyd County, Kentucky",37.5473459,-82.7645621
38220,"Pine Bluff, AR Micro Area",5,25,"Cleveland County, Arkansas",33.8847138,-92.1724506
38240,"Pinehurst-Southern Pines, NC Metro Area",37,125,"Moore County, North Carolina",35.3054614,-79.4761236
38260,"Pittsburg, KS Micro Area",20,37,"Crawford County, Kansas",37.503889,-94.8652466
38300,"Pittsburgh, PA Metro Area",42,3,"Allegheny County, Pennsylvania",40.4597204,-79.9760405
38340,"Pittsfield, MA Metro Area",25,3,"Berkshire County, Massachusetts",42.3999954,-73.2322639
38380,"Plainview, TX Micro Area",48,153,"Floyd County, Texas",34.0266015,-101.2765537
38420,"Platteville, WI Micro Area",55,43,"Grant County, Wisconsin",42.8855277,-90.6991696
38460,"Plattsburgh, NY Micro Area",36,19,"Clinton County, New York",44.7278943,-73.6686982
38500,"Plymouth, IN Micro Area",18,99,"Marshall County, Indiana",41.322843,-86.2809625
38540,"Pocatello, ID Metro Area",16,5,"Bannock County, Idaho",42.6936188,-112.2506044
38620,"Ponca City, OK Micro Area",40,71,"Kay County, Oklahoma",36.8384462,-97.1571626
38700,"Pontiac, IL Micro Area",17,105,"Livingston County, Illinois",40.8682487,-88.5631125
38740,"Poplar Bluff, MO Micro Area",29,23,"Butler County, Missouri",36.7151346,-90.4146358
38820,"Port Angeles, WA Micro Area",53,9,"Clallam County, Washington",47.9998383,-123.7373472
38860,"Portland-South Portland, ME Metro Area",23,5,"Cumberland County, Maine",43.8506432,-70.4001498
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",41,5,"Clackamas County, Oregon",45.1608821,-122.2305038
