msa,Population
"Okeechobee, FL Micro Area",39870
"Oklahoma City, OK Metro Area",1428923
"Olean, NY Micro Area",77000
"Olympia-Lacey-Tumwater, WA Metro Area",294272
"Omaha-Council Bluffs, NE-IA Metro Area",966688
"Oneonta, NY Micro Area",59678
"Ontario, OR-ID Micro Area",57109
"Opelousas, LA Micro Area",82574
"Orangeburg, SC Micro Area",84159
"Orlando-Kissimmee-Sanford, FL Metro Area",2679298
"Oshkosh-Neenah, WI Metro Area",171197
"Oskaloosa, IA Micro Area",22059
"Othello, WA Micro Area",20557
"Ottawa, IL Micro Area",148326
"Ottawa, KS Micro Area",25968
"Ottumwa, IA Micro Area",35292
"Owatonna, MN Micro Area",37396
"Owensboro, KY Metro Area",121147
"Oxford, MS Micro Area",56172
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",842009
"Ozark, AL Micro Area",49455
"Paducah, KY-IL Micro Area",98430
"Pahrump, NV Micro Area",51698
"Palatka, FL Micro Area",73604
"Palestine, TX Micro Area",58077
"Palm Bay-Melbourne-Titusville, FL Metro Area",610723
"Pampa, TX Micro Area",22036
"Panama City, FL Metro Area",181055
"Paragould, AR Micro Area",45954
"Paris, TN Micro Area",32305
"Paris, TX Micro Area",50149
"Parkersburg-Vienna, WV Metro Area",89474
"Parsons, KS Micro Area",20096
"Payson, AZ Micro Area",53419
"Pearsall, TX Micro Area",18151
"Pecos, TX Micro Area",14118
"Pella, IA Micro Area",33487
"Pensacola-Ferry Pass-Brent, FL Metro Area",510290
"Peoria, IL Metro Area",401702
"Peru, IN Micro Area",35952
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6232894
"Phoenix-Mesa-Chandler, AZ Metro Area",4864209
"Picayune, MS Micro Area",56351
"Pierre, SD Micro Area",20791
"Pine Bluff, AR Metro Area",87498
"Pinehurst-Southern Pines, NC Micro Area",100759
"Pittsburg, KS Micro Area",39012
"Pittsburgh, PA Metro Area",2365501
"Pittsfield, MA Metro Area",128763
"Plainview, TX Micro Area",32525
"Platteville, WI Micro Area",51842
"Plattsburgh, NY Micro Area",79839
"Plymouth, IN Micro Area",46208
"Pocatello, ID Metro Area",95352
"Point Pleasant, WV-OH Micro Area",54764
"Ponca City, OK Micro Area",43859
"Ponce, PR Metro Area",222831
"Pontiac, IL Micro Area",35771
"Poplar Bluff, MO Micro Area",53119
"Portales, NM Micro Area",19142
"Port Angeles, WA Micro Area",77333
"Portland-South Portland, ME Metro Area",552916
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2505312
"Port Lavaca, TX Micro Area",20127
"Port St. Lucie, FL Metro Area",494081
"Portsmouth, OH Micro Area",73716
"Pottsville, PA Micro Area",143201
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",697704
"Prescott Valley-Prescott, AZ Metro Area",237830
"Price, UT Micro Area",20338
"Prineville, OR Micro Area",24987
"Providence-Warwick, RI-MA Metro Area",1670949
"Provo-Orem, UT Metro Area",677964
"Pueblo, CO Metro Area",168135
"Pullman, WA Micro Area",47141
"Punta Gorda, FL Metro Area",189900
"Quincy, IL-MO Micro Area",75570
"Racine, WI Metro Area",197068
"Raleigh-Cary, NC Metro Area",1420825
"Rapid City, SD Metro Area",140356
"Raymondville, TX Micro Area",20308
"Reading, PA Metro Area",428483
"Red Bluff, CA Micro Area",65484
"Redding, CA Metro Area",181852
"Red Wing, MN Micro Area",47697
"Reno, NV Metro Area",490769
"Rexburg, ID Micro Area",66006
"Richmond, IN Micro Area",66522
"Richmond, VA Metro Area",1316145
"Richmond-Berea, KY Micro Area",107093
"Rio Grande City-Roma, TX Micro Area",65716
"Riverside-San Bernardino-Ontario, CA Metro Area",4610050
"Riverton, WY Micro Area",39402
"Roanoke, VA Metro Area",314708
