msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Columbus, IN Metro Area",82371,3.6,10.8,19.7,76912,43250,18020,39.1914156,-85.8204601,35317,32607,2710,7.673358439278534
"Columbus, MS Micro Area",58547,6.2,5.0,20.8,53687,36270,18060,33.4466925,-88.4108384,26882,23680,3202,11.911316122312329
"Columbus, NE Micro Area",34219,1.9,5.3,14.1,69943,40662,18100,41.5738643,-97.0828487,14094,13313,781,5.541365119909181
"Columbus, OH Metro Area",2137223,4.2,14.3,23.9,76541,44805,18140,40.2317686,-82.9651045,902082,841636,60446,6.700721220465546
"Concord, NH Micro Area",153918,3.6,12.1,26.8,88806,46674,18180,43.3260376,-71.6854725,65565,60420,5145,7.847174559597346
"Connersville, IN Micro Area",23391,4.5,3.3,27.7,52219,34324,18220,39.619235,-85.179378,10886,9720,1166,10.711004960499723
"Cookeville, TN Micro Area",114463,4.6,6.4,23.2,52638,33232,18260,36.362299,-85.6654772,51443,46179,5264,10.232684719009388
"Cordele, GA Micro Area",20255,8.2,6.5,20.8,47463,33755,18380,31.9152265,-83.77777,9854,8346,1508,15.303430079155673
"Corinth, MS Micro Area",34717,6.4,1.7,22.8,47716,31684,18420,34.8734817,-88.5667345,16159,14395,1764,10.916517111207376
"Cornelia, GA Micro Area",46326,2.3,7.6,26.9,61292,32068,18460,34.6270741,-83.5016755,18340,16408,1932,10.534351145038167
"Corning, NY Micro Area",93584,6.3,7.0,22.1,62506,39811,18500,42.2359045,-77.3750862,47327,39737,7590,16.037357111162763
"Corpus Christi, TX Metro Area",422187,5.5,4.6,20.5,64005,38356,18580,28.1987876,-96.947708,180679,155483,25196,13.945173484466928
"Corsicana, TX Micro Area",52834,5.6,6.0,26.9,56261,31667,18620,32.0279525,-96.4985456,21385,18660,2725,12.742576572363806
"Cortland, NY Micro Area",46755,5.4,6.3,21.7,65029,35089,18660,42.5842136,-76.0704906,20814,18378,2436,11.703660997405592
"Corvallis, OR Metro Area",95615,6.8,14.6,19.8,72882,28722,18700,44.494937,-123.4065679,40150,37447,2703,6.732254047322541
"Coshocton, OH Micro Area",36629,6.1,6.0,25.3,52048,34505,18740,40.2905684,-81.9271441,16324,14621,1703,10.43249203626562
"Crawfordsville, IN Micro Area",38018,4.0,6.1,22.4,62937,39064,18820,40.0361447,-86.9007083,16464,15210,1254,7.61661807580175
"Crescent City, CA Micro Area",27462,6.3,6.9,17.2,61149,33059,18860,41.7261767,-123.91328,11090,9807,1283,11.56898106402164
"Crestview-Fort Walton Beach-Destin, FL Metro Area",288639,3.8,9.7,26.3,74279,39555,18880,30.6765961,-86.6037748,157394,113938,43456,27.609692872663505
"Crossville, TN Micro Area",61552,5.7,6.8,22.4,56002,33961,18900,35.953805,-84.9748195,30479,26933,3546,11.634239968502904
"Cullman, AL Micro Area",88284,4.3,2.6,26.2,58119,33900,18980,34.1335332,-86.8779268,39145,34723,4422,11.296461872525226
