"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Columbus, GA-AL Metro Area","143,697","128,919","14,778"
"Columbus, IN Metro Area","","",""
"    Columbus, IN Metro Area","35,317","32,607","2,710"
"Columbus, MS Micro Area","","",""
"    Columbus, MS Micro Area","26,882","23,680","3,202"
"Columbus, NE Micro Area","","",""
"    Columbus, NE Micro Area","14,094","13,313","781"
"Columbus, OH Metro Area","","",""
"    Columbus, OH Metro Area","902,082","841,636","60,446"
"Concord, NH Micro Area","","",""
"    Concord, NH Micro Area","65,565","60,420","5,145"
"Connersville, IN Micro Area","","",""
"    Connersville, IN Micro Area","10,886","9,720","1,166"
"Cookeville, TN Micro Area","","",""
"    Cookeville, TN Micro Area","51,443","46,179","5,264"
"Coos Bay, OR Micro Area","","",""
"    Coos Bay, OR Micro Area","31,378","27,662","3,716"
"Cordele, GA Micro Area","","",""
"    Cordele, GA Micro Area","9,854","8,346","1,508"
"Corinth, MS Micro Area","","",""
"    Corinth, MS Micro Area","16,159","14,395","1,764"
"Cornelia, GA Micro Area","","",""
"    Cornelia, GA Micro Area","18,340","16,408","1,932"
"Corning, NY Micro Area","","",""
"    Corning, NY Micro Area","47,327","39,737","7,590"
"Corpus Christi, TX Metro Area","","",""
"    Corpus Christi, TX Metro Area","180,679","155,483","25,196"
"Corsicana, TX Micro Area","","",""
"    Corsicana, TX Micro Area","21,385","18,660","2,725"
"Cortland, NY Micro Area","","",""
"    Cortland, NY Micro Area","20,814","18,378","2,436"
"Corvallis, OR Metro Area","","",""
"    Corvallis, OR Metro Area","40,150","37,447","2,703"
"Coshocton, OH Micro Area","","",""
"    Coshocton, OH Micro Area","16,324","14,621","1,703"
"Craig, CO Micro Area","","",""
"    Craig, CO Micro Area","6,091","5,352","739"
"Crawfordsville, IN Micro Area","","",""
"    Crawfordsville, IN Micro Area","16,464","15,210","1,254"
"Crescent City, CA Micro Area","","",""
"    Crescent City, CA Micro Area","11,090","9,807","1,283"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","","",""
"    Crestview-Fort Walton Beach-Destin, FL Metro Area","157,394","113,938","43,456"
"Crossville, TN Micro Area","","",""
"    Crossville, TN Micro Area","30,479","26,933","3,546"
"Cullman, AL Micro Area","","",""
"    Cullman, AL Micro Area","39,145","34,723","4,422"
"Cullowhee, NC Micro Area","","",""
"    Cullowhee, NC Micro Area","34,990","22,610","12,380"
"Cumberland, MD-WV Metro Area","","",""
"    Cumberland, MD-WV Metro Area","45,364","38,710","6,654"
"Dallas-Fort Worth-Arlington, TX Metro Area","","",""
"    Dallas-Fort Worth-Arlington, TX Metro Area","2,947,189","2,760,991","186,198"
"Dalton, GA Metro Area","","",""
"    Dalton, GA Metro Area","54,914","50,852","4,062"
"Danville, IL Metro Area","","",""
"    Danville, IL Metro Area","34,407","30,568","3,839"
"Danville, KY Micro Area","","",""
"    Danville, KY Micro Area","23,706","21,457","2,249"
"Danville, VA Micro Area","","",""
"    Danville, VA Micro Area","51,628","44,330","7,298"
"Daphne-Fairhope-Foley, AL Metro Area","","",""
"    Daphne-Fairhope-Foley, AL Metro Area","124,148","93,116","31,032"
"Davenport-Moline-Rock Island, IA-IL Metro Area","","",""
"    Davenport-Moline-Rock Island, IA-IL Metro Area","174,002","159,261","14,741"
"Dayton, TN Micro Area","","",""
"    Dayton, TN Micro Area","15,163","13,082","2,081"
"Dayton-Kettering, OH Metro Area","","",""
"    Dayton-Kettering, OH Metro Area","369,625","339,453","30,172"
"Decatur, AL Metro Area","","",""
"    Decatur, AL Metro Area","68,490","62,758","5,732"
"Decatur, IL Metro Area","","",""
"    Decatur, IL Metro Area","49,727","44,549","5,178"
"Decatur, IN Micro Area","","",""
"    Decatur, IN Micro Area","13,172","12,386","786"
"Defiance, OH Micro Area","","",""
"    Defiance, OH Micro Area","16,539","15,482","1,057"
"Del Rio, TX Micro Area","","",""
"    Del Rio, TX Micro Area","18,455","15,796","2,659"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","","",""
"    Deltona-Daytona Beach-Ormond Beach, FL Metro Area","327,890","280,751","47,139"
"Deming, NM Micro Area","","",""
"    Deming, NM Micro Area","11,508","9,822","1,686"
"Denver-Aurora-Lakewood, CO Metro Area","","",""
"    Denver-Aurora-Lakewood, CO Metro Area","1,242,492","1,167,462","75,030"
"DeRidder, LA Micro Area","","",""
"    DeRidder, LA Micro Area","15,771","13,797","1,974"
"Des Moines-West Des Moines, IA Metro Area","","",""
"    Des Moines-West Des Moines, IA Metro Area","300,984","280,757","20,227"
"Detroit-Warren-Dearborn, MI Metro Area","","",""
"    Detroit-Warren-Dearborn, MI Metro Area","1,901,256","1,760,892","140,364"
"Dickinson, ND Micro Area","","",""
"    Dickinson, ND Micro Area","15,948","13,967","1,981"
"Dixon, IL Micro Area","","",""
"    Dixon, IL Micro Area","14,985","13,589","1,396"
"Dodge City, KS Micro Area","","",""
"    Dodge City, KS Micro Area","12,550","11,376","1,174"
"Dothan, AL Metro Area","","",""
"    Dothan, AL Metro Area","70,792","62,411","8,381"
"Douglas, GA Micro Area","","",""
"    Douglas, GA Micro Area","20,801","18,341","2,460"
"Dover, DE Metro Area","","",""
"    Dover, DE Metro Area","72,708","68,290","4,418"
"Dublin, GA Micro Area","","",""
"    Dublin, GA Micro Area","28,334","25,050","3,284"
"DuBois, PA Micro Area","","",""
"    DuBois, PA Micro Area","38,078","32,435","5,643"
"Dubuque, IA Metro Area","","",""
"    Dubuque, IA Metro Area","42,630","39,891","2,739"
"Duluth, MN-WI Metro Area","","",""
"    Duluth, MN-WI Metro Area","149,586","124,417","25,169"
"Dumas, TX Micro Area","","",""
"    Dumas, TX Micro Area","8,188","7,258","930"
"Duncan, OK Micro Area","","",""
"    Duncan, OK Micro Area","20,322","17,268","3,054"
"Durango, CO Micro Area","","",""
"    Durango, CO Micro Area","28,198","23,487","4,711"
"Durant, OK Micro Area","","",""
"    Durant, OK Micro Area","20,366","17,954","2,412"
"Durham-Chapel Hill, NC Metro Area","","",""
"    Durham-Chapel Hill, NC Metro Area","282,215","261,637","20,578"
"Dyersburg, TN Micro Area","","",""
"    Dyersburg, TN Micro Area","16,218","14,787","1,431"
"Eagle Pass, TX Micro Area","","",""
"    Eagle Pass, TX Micro Area","20,072","18,034","2,038"
"Easton, MD Micro Area","","",""
"    Easton, MD Micro Area","19,538","16,296","3,242"
"East Stroudsburg, PA Metro Area","","",""
"    East Stroudsburg, PA Metro Area","79,114","62,284","16,830"
"Eau Claire, WI Metro Area","","",""
"    Eau Claire, WI Metro Area","73,654","69,167","4,487"
"Edwards, CO Micro Area","","",""
"    Edwards, CO Micro Area","32,967","20,760","12,207"
"Effingham, IL Micro Area","","",""
"    Effingham, IL Micro Area","15,314","14,117","1,197"
"El Campo, TX Micro Area","","",""
"    El Campo, TX Micro Area","17,296","15,446","1,850"
"El Centro, CA Metro Area","","",""
"    El Centro, CA Metro Area","56,625","52,050","4,575"
"El Dorado, AR Micro Area","","",""
"    El Dorado, AR Micro Area","18,599","16,182","2,417"
"Elizabeth City, NC Micro Area","","",""
"    Elizabeth City, NC Micro Area","24,276","21,182","3,094"
"Elizabethtown-Fort Knox, KY Metro Area","","",""
